6sense Company Name,6sense Country,6sense Domain,6sense Revenue Range,6sense Employee Range,6sense Industry,6sense Buying Stage
Atlantic Alumina,United States,atalco.com,$100M - $250M,250 - 499,"Industrial Manufacturing,Industrial Manufacturing",Awareness
Recygo,France,recygo.fr,$5M - $10M,20 - 49,"Industrial Manufacturing,Energy & Utilities",Target
Schaeffler,United States,schaeffler.com,$5B+,"10,000+","Automotive,Industrial Manufacturing",Consideration
Aqua Security,United States,aquasec.com,$100M - $250M,500 - 999,"Software,Information Technology",Decision
Moderaterna,Sweden,moderaterna.se,$5M - $10M,100 - 249,"Business Services,Associations & Non Profits,Government",Consideration
Affinity Solutions,United States,affinity.solutions,$25M - $50M,100 - 249,"Software,Information Technology",Consideration
County Of Hunterdon,United States,hunterdon.nj.us,$50M - $100M,100 - 249,Government,Consideration
Tigbur,Israel,tigbur.co.il,$250M - $500M,"10,000+","Business Services,Construction & Engineering",Consideration
Ridan,Russia,ridan.ru,$25M - $50M,20 - 49,Industrial Manufacturing,Target
Global Switch,Spain,globalswitch.com,$50M - $100M,250 - 499,"Business Services,Internet,Information Technology",Target
Augmedics,Israel,augmedics.com,$10M - $25M,100 - 249,Healthcare & Medical,Consideration
Village Of Beech Bottom,United States,beechbottomwv.org,$1M - $5M,0 - 9,Government,Target
Allied Solutions,United States,alliedsolutions.net,$250M - $500M,"1,000 - 4,999",Financial Services,Consideration
Element Leasing,Russia,elementleasing.ru,$50M - $100M,500 - 999,Financial Services,Target
PCPD,People's Republic of China,pcpd.org.hk,$5M - $10M,100 - 249,Government,Awareness
Kiawah River,United States,kiawahriver.com,$1 - $1M,20 - 49,"Real Estate, Rentals, and Leasing",Awareness
ADAMA Ltd.,Colombia,adama.com,$2.5B - $5B,"5,000 - 9,999",Industrial Manufacturing,Target
Daytona State College,United States,daytonastate.edu,$25M - $50M,"1,000 - 4,999",Education,Consideration
Samuel Stauffer SA,Switzerland,stauffer-cie.ch,$1M - $5M,0 - 9,Consumer Goods and Services,Target
ULA,Mexico,ula.edu.mx,$250M - $500M,"1,000 - 4,999",Education,Decision
MPRS,Brazil,mprs.mp.br,$100M - $250M,"1,000 - 4,999",Government,Decision
HealtheMed,United States,healthemed.com,$1M - $5M,20 - 49,Healthcare & Medical,Awareness
Walkaroo International Pvt Ltd,India,walkaroo.in,$100M - $250M,"1,000 - 4,999","Consumer Goods and Services,Consumer Goods and Services",Decision
Clackamas County,United States,clackamas.us,$500M - $1B,"1,000 - 4,999","Government,Business Services",Consideration
National Intelligence Service,Greece,nis.gr,$1M - $5M,0 - 9,Government,Awareness
NMBU,Norway,nmbu.no,$500M - $1B,"1,000 - 4,999",Education,Decision
Patanjali Global,India,patanjaliglobal.org,$500M - $1B,"10,000+",Consumer Goods and Services,Awareness
Elan des Talents,France,apicil.com,$500M - $1B,"1,000 - 4,999",Financial Services,Consideration
SEFAZ-MA,Brazil,sefaz.ma.gov.br,$50M - $100M,"1,000 - 4,999",Government,Target
Principado De Asturias,Spain,asturias.es,$10M - $25M,"10,000+",Government,Awareness
Cordis,United States,cordis.com,$500M - $1B,"1,000 - 4,999","Industrial Manufacturing,Healthcare & Medical,Hardware & Semiconductors",Awareness
Tribunal Regional Eleitoral Do Rio De Janeiro,Brazil,tre-rj.gov.br,$50M - $100M,500 - 999,Government,Decision
Special Response Corporation,United States,specialresponse.com,$100M - $250M,500 - 999,Business Services,Consideration
Accelya,Spain,accelya.com,$50M - $100M,"1,000 - 4,999",Software,Awareness
Boelter,United States,boelter.com,$250M - $500M,250 - 499,"Industrial Manufacturing,Industrial Manufacturing,Consumer Goods and Services",Awareness
Türkiye Voleybol Federasyonu,Turkey,tvf.org.tr,$25M - $50M,100 - 249,Media & Entertainment,Target
Huis voor gezondheid,Belgium,huisvoorgezondheid.be,$1 - $1M,20 - 49,Internet,Target
PSEG,United States,pseg.com,$5B+,"10,000+","Energy & Utilities,Energy & Utilities",Consideration
Global Retail Brands Australia,Australia,globalretailbrands.net,$10M - $25M,"1,000 - 4,999",Consumer Goods and Services,Awareness
BT Group,Ireland,bt.com,$5B+,"10,000+",Telecommunications,Purchase
Ito Group,Japan,ito-group.com,$25M - $50M,100 - 249,"Industrial Manufacturing,Industrial Manufacturing,Business Services,Construction & Engineering",Target
Trident Trust,United States,tridenttrust.com,$500M - $1B,"1,000 - 4,999",Financial Services,Consideration
Ayuntamiento de Torrevieja,Spain,torrevieja.es,$1 - $1M,100 - 249,Government,Target
Absdorf,Austria,absdorf.gv.at,$10M - $25M,50 - 99,Government,Target
CTDI Europe,Germany,ctdi.eu,$250M - $500M,"10,000+",Telecommunications,Consideration
SFNB,United States,sfnb.bank,$5M - $10M,0 - 9,Financial Services,Target
Kieger,Switzerland,kieger.com,$5M - $10M,20 - 49,"Financial Services,Financial Services",Awareness
Profichip Embedded Solutions By Yaskawa,Sweden,yaskawa.eu.com,$250M - $500M,"1,000 - 4,999","Industrial Manufacturing,Business Services,Construction & Engineering",Purchase
Ecostar Renew Customer,People's Republic of China,eco-star.cn,,,,Target
Pyrex,France,pyrex.fr,$50M - $100M,0 - 9,"Consumer Goods and Services,Industrial Manufacturing",Target
DGADR,Portugal,dgadr.gov.pt,$1M - $5M,100 - 249,Government,Consideration
San Carlo,Italy,sancarlo.com,$500M - $1B,,Consumer Goods and Services,Target
Ticket,Sweden,ticket.se,$100M - $250M,250 - 499,"Hospitality, Travel, and Recreation",Consideration
Haveli Investments,United States,haveliinvestments.com,$10M - $25M,20 - 49,"Financial Services,Financial Services",Consideration
Finnparttia Oy,Finland,finnparttia.fi,$5M - $10M,0 - 9,"Construction & Engineering,Industrial Manufacturing",Target
"First National of Nebraska, Inc.",United States,fnni.com,$1B - $2.5B,"5,000 - 9,999",Financial Services,Purchase
Holisto,Israel,holisto.com,$50M - $100M,250 - 499,"Hospitality, Travel, and Recreation",Awareness
"Turn5, Inc.",United States,turn5.com,$50M - $100M,250 - 499,"Internet,Wholesale & Distribution",Consideration
Puerto Bahia,Colombia,puertobahia.com.co,$50M - $100M,250 - 499,Transportation & Logistics,Awareness
Grand Prix Mazda Caboolture,Australia,caboolturemazda.com.au,$1M - $5M,10 - 19,Automotive,Target
TravelCLICK,United States,amadeus-hospitality.com,$5B+,"10,000+",Software,Decision
IP Trading,Australia,iptrading.com.au,$5M - $10M,20 - 49,"Consumer Goods and Services,Consumer Goods and Services,Associations & Non Profits",Consideration
Exintra Group,Netherlands,exintra.eu,$10M - $25M,100 - 249,"Financial Services,Transportation & Logistics,Business Services",Target
S&N Invent,Germany,sn-invent.de,$25M - $50M,250 - 499,Software,Consideration
Antina Pte Ltd,Singapore,antina.com.sg,$5M - $10M,20 - 49,Telecommunications,Consideration
Lancashire Teaching Hospitals NHS Foundation Trust,United Kingdom,lancsteachinghospitals.nhs.uk,$500M - $1B,"5,000 - 9,999",Healthcare & Medical,Consideration
Oesia,Spain,grupooesia.com,$100M - $250M,"1,000 - 4,999","Information Technology,Software",Decision
Fusion Systems International,Japan,fusionsystems.com,$5M - $10M,20 - 49,Media & Entertainment,Target
Medical University Of Graz,Austria,medunigraz.at,$500M - $1B,"1,000 - 4,999",Education,Decision
Navasota Independent School District,United States,navasotaisd.org,$25M - $50M,250 - 499,Education,Consideration
Vesuvius GmbH,People's Republic of China,vesuvius.com,$1B - $2.5B,"10,000+",Industrial Manufacturing,Target
Pure Industrial,Canada,pureindustrial.ca,$100M - $250M,100 - 249,"Financial Services,Real Estate, Rentals, and Leasing",Consideration
Tantalus Systems,Canada,tantalus.com,$50M - $100M,100 - 249,Industrial Manufacturing,Consideration
Yarra Plastics,Australia,yarraplastics.com.au,$5M - $10M,0 - 9,"Construction & Engineering,Consumer Goods and Services",Target
Cyber Security Corporation,India,cybersecuritycorp.in,$1M - $5M,0 - 9,Business Services,Awareness
ASB Bank,New Zealand,asb.co.nz,$1B - $2.5B,"1,000 - 4,999",Financial Services,Purchase
CGC,Brazil,cgceducacao.com.br,$1M - $5M,0 - 9,Media & Entertainment,Target
Eu-lisa,Belgium,eulisa.europa.eu,$50M - $100M,500 - 999,Government,Consideration
JERVOIS,Finland,jervoisfinland.com,$100M - $250M,250 - 499,Industrial Manufacturing,Target
WorkSafeNB,Canada,ws-ts.nb.ca,$10M - $25M,500 - 999,"Financial Services,Government",Awareness
Tameside College,United Kingdom,tameside.ac.uk,$100M - $250M,500 - 999,Education,Consideration
Gravotech Ecuador,Ecuador,trofeoscastro.com.ec,$1 - $1M,0 - 9,Industrial Manufacturing,Target
Drornt Systems Inc.,Israel,xcs.co.il,$1 - $1M,0 - 9,"Business Services,Information Technology",Target
IT-Power Services GmbH,Austria,it-ps.at,$10M - $25M,20 - 49,"Business Services,Financial Services,Associations & Non Profits,Information Technology",Awareness
Kingston University,United Kingdom,kingston.ac.uk,$250M - $500M,"1,000 - 4,999",Education,Decision
"Golden Entertainment, Inc.",United States,goldenent.com,$500M - $1B,"1,000 - 4,999","Hospitality, Travel, and Recreation",Decision
Asahi Business Solutions Corporation,Japan,n-ais.co.jp,$25M - $50M,100 - 249,"Information Technology,Software",Target
"Sinopatt Technology Co., Ltd.",People's Republic of China,sinopatt.com,$100M - $250M,500 - 999,Hardware & Semiconductors,Awareness
Migdal Insurance & Financial Holdings Ltd,Israel,migdal.co.il,$5B+,"1,000 - 4,999",Financial Services,Decision
Century,Brazil,meucentury.com,$25M - $50M,250 - 499,Consumer Goods and Services,Target
AFL-CIO Housing Investment Trust,United States,aflcio-hit.com,$5M - $10M,20 - 49,Financial Services,Consideration
"Global Logistics System (HK) Co., Ltd",People's Republic of China,glshk.com,$5M - $10M,100 - 249,Transportation & Logistics,Consideration
Future Necessities B.V.,Netherlands,sirius.nl,$1 - $1M,10 - 19,"Financial Services,Business Services",Target
COFCO International,Switzerland,cofcointernational.com,$5B+,"10,000+",Agriculture,Target
Velocity Global,United States,velocityglobal.com,$100M - $250M,"1,000 - 4,999","Business Services,Business Services",Awareness
Johnson Supply Company,United States,johnsonsupplyco.com,$5M - $10M,20 - 49,"Industrial Manufacturing,Aerospace & Defense",Awareness
RD Station,Brazil,rdstation.com,$100M - $250M,"1,000 - 4,999",Information Technology,Consideration
Barnstable County Sheriff's Office,United States,bsheriff.net,$50M - $100M,250 - 499,Government,Consideration
Moffitt Cancer Center,United States,moffitt.org,$1B - $2.5B,"5,000 - 9,999",Healthcare & Medical,Decision
WSVN-TV 7News,United States,wsvn.com,$250M - $500M,100 - 249,Media & Entertainment,Consideration
Quant ICT,Belgium,quant.be,$5M - $10M,20 - 49,"Telecommunications,Business Services",Awareness
Avalon Biomedical Management Ltd.,People's Republic of China,avalonbiomedical.com,$5M - $10M,20 - 49,Biotech & Pharmaceuticals,Consideration
Feedvisor,Israel,feedvisor.com,$25M - $50M,50 - 99,"Business Services,Internet,Software",Awareness
Paraza Pharma,Canada,parazapharma.com,$25M - $50M,250 - 499,Biotech & Pharmaceuticals,Awareness
Sagent Pharmaceuticals,United States,sagentpharma.com,$250M - $500M,100 - 249,Biotech & Pharmaceuticals,Awareness
A.T.S. Sas,Italy,ats-stampi.it,$1 - $1M,0 - 9,Industrial Manufacturing,Target
New York State Office For People With Developmental Disabilities,United States,opwdd.ny.gov,$50M - $100M,"10,000+",Government,Consideration
Norsk Hydro,Slovakia,hydro.com,$5B+,"10,000+",Industrial Manufacturing,Awareness
Dime Community Bank,United States,dime.com,$250M - $500M,500 - 999,Financial Services,Consideration
"Information Security Management, LLC",United States,ismllc.com,$1M - $5M,0 - 9,Business Services,Target
Vineyard Vines,United States,vineyardvines.com,$500M - $1B,"1,000 - 4,999",Consumer Goods and Services,Awareness
Shinagawa Refractories,Australia,shinagawa.com.au,$10M - $25M,100 - 249,Industrial Manufacturing,Target
Fnac Darty,France,fnacdarty.com,$5B+,"10,000+",Consumer Goods and Services,Awareness
ProfIT Solution GmbH,Austria,profitsolution.at,$1 - $1M,0 - 9,Information Technology,Target
Merit Insurance Group,United States,meritinsurancegroup.com,$1M - $5M,0 - 9,Financial Services,Target
Bank Of Ireland Group Plc,Ireland,bankofireland.com,$2.5B - $5B,"10,000+",Financial Services,Decision
ESG,United Kingdom,esgglobal.com,$50M - $100M,500 - 999,"Business Services,Software,Information Technology",Consideration
FDP Bayern,Germany,fdp-bayern.de,$1M - $5M,0 - 9,"Government,Business Services,Associations & Non Profits",Target
HBA / Hirsch Bedner Associates,Japan,hba.com,$500M - $1B,"1,000 - 4,999",Business Services,Target
Four Seeds & Co,United States,fourseedsco.com,$1 - $1M,10 - 19,Consumer Goods and Services,Target
Karstulan Evankelinen Opisto,Finland,keokarstula.fi,$1 - $1M,0 - 9,Education,Target
Fusion Bank,People's Republic of China,fusionbank.com,$25M - $50M,100 - 249,Financial Services,Consideration
YTT Design Solutions,United States,yttdesign.com,$1M - $5M,0 - 9,Business Services,Target
Sherrill-Lubinski Corporation,United States,rtview.com,$10M - $25M,100 - 249,Software,Consideration
Novosadski sajam,Serbia,sajam.net,$1M - $5M,100 - 249,Business Services,Target
Northwest Chest Consultants,United States,vitals.com,$25M - $50M,20 - 49,"Healthcare & Medical,Software",Awareness
Electrolux Vacuum Cleaners,Colombia,electroluxappliances.com,$5B+,"10,000+",Consumer Goods and Services,Target
Volkswagen Automatic Transmission,People's Republic of China,vwatj.com,$5M - $10M,0 - 9,"Automotive,Transportation & Logistics",Target
Intershop Communications,Germany,intershop.com,$25M - $50M,250 - 499,Software,Awareness
"TaxHawk, Inc.",United States,taxhawk.com,$10M - $25M,100 - 249,"Business Services,Software",Decision
BDNet Corporate Networking,United States,bdnetcorp.com,$5M - $10M,20 - 49,"Software,Information Technology",Purchase
Xzact Solutions Inc.,Japan,xzact-group.com,$1 - $1M,20 - 49,Business Services,Awareness
B. Riley Financial,United States,brileyfin.com,$1B - $2.5B,"1,000 - 4,999",Financial Services,Consideration
InComm Payments,United States,incomm.com,$500M - $1B,"1,000 - 4,999",Financial Services,Decision
Tokyo University Of Marine Science & Technology,Japan,kaiyodai.ac.jp,$50M - $100M,250 - 499,Education,Consideration
Asco Pompe,Italy,ascopompe.com,$10M - $25M,100 - 249,Industrial Manufacturing,Target
ARaymond Mobility,India,araymond-mobility.com,$50M - $100M,"5,000 - 9,999",Industrial Manufacturing,Target
Loudoun County Government,United States,loudoun.gov,$2.5B - $5B,"5,000 - 9,999","Government,Business Services",Decision
Rane Group,India,ranegroup.com,$250M - $500M,"5,000 - 9,999","Automotive,Automotive",Consideration
Camden City School District,United States,camdencityschools.org,$250M - $500M,"10,000+",Education,Consideration
Ness Ziona Municipality,Israel,nzc.org.il,$25M - $50M,0 - 9,Government,Consideration
Zentiva,India,zentiva.com,$100M - $250M,"1,000 - 4,999",Biotech & Pharmaceuticals,Consideration
AkzoNobel Kemipol,Turkey,akzonobelkemipol.com.tr,$10M - $25M,250 - 499,Industrial Manufacturing,Target
AUTORITA' UMBRA PER RIFIUTI E IDRICO,Italy,auriumbria.it,$1M - $5M,0 - 9,Government,Target
Ross Video,Canada,rossvideo.com,$2.5B - $5B,"1,000 - 4,999","Media & Entertainment,Industrial Manufacturing,Hardware & Semiconductors",Decision
Ola,India,olacabs.com,$500M - $1B,"10,000+",Transportation & Logistics,Consideration
TE Connectivity,Malaysia,te.com,$5B+,"10,000+","Industrial Manufacturing,Hardware & Semiconductors",Consideration
IQVIA,Russia,iqvia.com,$5B+,"10,000+","Education,Business Services,Biotech & Pharmaceuticals,Government",Target
Flowers Foods & Subsidiaries,United States,flowersfoods.com,$5B+,"10,000+",Consumer Goods and Services,Decision
ANDA S.A.,Argentina,anda.com.ar,$1M - $5M,10 - 19,Automotive,Target
SBA Communications,United States,sbasite.com,$2.5B - $5B,"1,000 - 4,999","Telecommunications,Information Technology",Decision
Stadt Speyer,Germany,speyer.de,$100M - $250M,20 - 49,Government,Target
Carteret County,United States,carteretcountync.gov,$100M - $250M,500 - 999,Government,Consideration
FanDuel,United States,fanduel.com,$5B+,"1,000 - 4,999",Media & Entertainment,Consideration
Pape - Dawson,United States,pape-dawson.com,$100M - $250M,"1,000 - 4,999","Construction & Engineering,Business Services",Consideration
Hotpc,Israel,hotpc.co.il,$1 - $1M,0 - 9,Software,Target
Polkomtel,Poland,plus.pl,$1B - $2.5B,"1,000 - 4,999",Telecommunications,Consideration
Tietokeskus,Finland,tietokeskus.fi,$100M - $250M,250 - 499,"Consumer Goods and Services,Consumer Goods and Services,Information Technology",Consideration
IVIONICS,United States,ivionics.com,$5M - $10M,20 - 49,"Software,Information Technology",Decision
All Souls St Gabriels School - Charters Towers,Australia,allsouls.qld.edu.au,$25M - $50M,100 - 249,Education,Consideration
Egnyte,United States,egnyte.com,$50M - $100M,"1,000 - 4,999","Software,Information Technology",Consideration
Radio - Canada,Canada,radio-canada.ca,$25M - $50M,"5,000 - 9,999",Media & Entertainment,Decision
Saab,Saudi Arabia,saab.com,$5B+,"10,000+","Aerospace & Defense,Transportation & Logistics",Target
